Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Subject,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6376a91c112c1854bc04d5c0,5ee344abd9fc94000b6e85a9,APPROVED,2022-11-17T21:35:27.553000Z,2022-11-17T21:39:09.541000Z,2022-11-18T22:09:55.506000,2022-11-17T21:39:10.007320Z,222,CUJVCRTW,7,"English, Polish","Economics, Mathematics",Undergraduate degree (BA/BSc/other),23,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
6376a92c69cf3a11146ced30,610bb9c0c502bc7d0b4650f6,APPROVED,2022-11-17T21:35:51.272000Z,2022-11-17T21:46:22.605000Z,2022-11-18T22:09:55.593000,2022-11-17T21:46:22.987911Z,632,CUJVCRTW,203,"English, Portuguese",Computer Science,Undergraduate degree (BA/BSc/other),21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6376a940105c2ed49f261d8e,5e5d6fcb0bc7e304922936dd,APPROVED,2022-11-17T21:36:00.466000Z,2022-11-17T21:50:35.106000Z,2022-11-18T22:09:55.679000,2022-11-17T21:50:35.905479Z,875,CUJVCRTW,386,"Portuguese, English",Computing (IT),Undergraduate degree (BA/BSc/other),24,Male,White,Canada,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6376a948dc7039d1f17b21fd,6168890fda89db751e013fd1,APPROVED,2022-11-17T21:36:16.377000Z,2022-11-17T21:47:20.032000Z,2022-11-18T22:09:55.765000,2022-11-17T21:47:20.352919Z,664,CUJVCRTW,107,English,Computing (IT),Undergraduate degree (BA/BSc/other),23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6376a96342017926abc1e8ce,60bfcf2d08b0aa1910719e26,APPROVED,2022-11-17T21:36:35.403000Z,2022-11-17T21:43:56.173000Z,2022-11-18T22:09:55.855000,2022-11-17T21:43:56.663896Z,441,CUJVCRTW,154,"Greek, English","Computer Science, Computing (IT)",Undergraduate degree (BA/BSc/other),23,Female,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
6376a968480aca5ff877d079,5e6d3324f14d262fced5bbfe,APPROVED,2022-11-17T21:36:40.865000Z,2022-11-17T21:39:09.784000Z,2022-11-18T22:09:55.948000,2022-11-17T21:39:10.564081Z,149,CUJVCRTW,465,"Italian, English, French","Languages, Other, Computer Science, Communication and/or Media",Undergraduate degree (BA/BSc/other),24,Male,White,Italy,Italy,Italy,Italian,Yes,Other
6376a97509fba2dd9272e6f1,6176b584db27cdcecc3896c8,APPROVED,2022-11-17T21:37:00.246000Z,2022-11-17T21:45:08.605000Z,2022-11-18T22:09:56.039000,2022-11-17T21:45:09.075781Z,489,CUJVCRTW,137,English,Computing (IT),Undergraduate degree (BA/BSc/other),27,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6376a98585b6ce7bd01112b2,611e58f3b7cfe10fe9eef3df,APPROVED,2022-11-17T21:37:09.966000Z,2022-11-17T21:51:22.279000Z,2022-11-18T22:09:56.130000,2022-11-17T21:51:22.608922Z,853,CUJVCRTW,155,English,"Computing (IT), Computer Science",Graduate degree (MA/MSc/MPhil/other),19,Female,Black,Nigeria,South Africa,Nigeria,English,Yes,Unemployed (and job seeking)
6376a9966e11f312520f57c6,60c101e4634ffb1aa797b924,APPROVED,2022-11-17T21:37:26.903000Z,2022-11-17T21:38:33.512000Z,2022-11-18T22:09:56.222000,2022-11-17T21:38:33.894939Z,67,CUJVCRTW,108,"Spanish, English",Computer Science,Graduate degree (MA/MSc/MPhil/other),31,Male,White,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
6376a9aa5286fe6022609832,61655c47cceb83c1cb0a51c8,APPROVED,2022-11-17T21:37:46.257000Z,2022-11-17T21:42:01.144000Z,2022-11-18T22:09:56.311000,2022-11-17T21:42:01.858781Z,255,CUJVCRTW,266,"English, German, Portuguese, Spanish",Computing (IT),Graduate degree (MA/MSc/MPhil/other),43,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6376a9aa6c7c95444c7ae359,60dd1c25668cc31eb13642ed,APPROVED,2022-11-17T21:38:07.648000Z,2022-11-17T21:50:39.183000Z,2022-11-18T22:09:56.399000,2022-11-17T21:50:39.571357Z,752,CUJVCRTW,94,English,Computing (IT),Undergraduate degree (BA/BSc/other),20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6376a9abcdbac5ec21fdfcf7,599315f2cf1d1700016ef7e3,APPROVED,2022-11-17T21:38:30.414000Z,2022-11-17T21:48:18.212000Z,2022-11-18T22:09:56.487000,2022-11-17T21:48:18.657168Z,588,CUJVCRTW,650,English,Computer Science,Undergraduate degree (BA/BSc/other),31,Male,White,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
6376a9c0ff5bd039d71aa878,614b55e22ff3944a165736bb,APPROVED,2022-11-17T21:40:03.968000Z,2022-11-17T21:43:33.491000Z,2022-11-18T22:09:56.576000,2022-11-17T21:43:33.838651Z,210,CUJVCRTW,240,"Portuguese, English",Computing (IT),Undergraduate degree (BA/BSc/other),21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6376a9d1414ef0af469d4fd0,61651678b1e8cb5079ebe9d2,APPROVED,2022-11-17T21:38:25.274000Z,2022-11-17T21:56:07.815000Z,2022-11-18T22:09:56.664000,2022-11-17T21:56:08.224901Z,1063,CUJVCRTW,192,"English, Spanish","Computer Science, Computing (IT)",Undergraduate degree (BA/BSc/other),27,Female,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)
6376a9de611abca34d53771e,5ea944c287b415000ce42862,RETURNED,2022-11-17T21:38:38.220000Z,2022-11-17T21:40:51.022000Z,,2022-11-17T21:40:51.322000Z,,CUJVCRTW,778,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6376a9fa367842bc28b6e1c0,608c2248d5c0b94f0edb968a,APPROVED,2022-11-17T21:39:06.503000Z,2022-11-17T21:56:10.921000Z,2022-11-18T22:09:56.755000,2022-11-17T21:56:11.247045Z,1025,CUJVCRTW,226,"Hungarian, English","Science, Physics, Mathematics, Engineering, Economics",Graduate degree (MA/MSc/MPhil/other),25,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6376aa04d0c82ecb7af70d6d,60043710710b3c1acc1f103e,APPROVED,2022-11-17T21:39:16.340000Z,2022-11-17T21:45:52.456000Z,2022-11-18T22:09:56.844000,2022-11-17T21:45:52.892536Z,397,CUJVCRTW,174,"English, Greek","Computing (IT), Music, Mathematics, Engineering, Biochemistry (Molecular and Cellular)",Graduate degree (MA/MSc/MPhil/other),30,Female,White,Greece,Greece,Greece,Greek,Yes,Part-Time
6376aa2e1b3ceda869af60dd,5eff55b491a1504ce717dc6a,RETURNED,2022-11-17T21:41:16.788000Z,2022-11-17T21:47:40.674000Z,,2022-11-17T21:47:41.810000Z,,CUJVCRTW,205,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6376aa4efc3359518544ae7d,5f034d2b2e1a9e51dac2d819,APPROVED,2022-11-17T21:40:30.179000Z,2022-11-17T21:47:14.795000Z,2022-11-18T22:09:56.934000,2022-11-17T21:47:15.266803Z,405,CUJVCRTW,194,"English, Portuguese, Spanish","Computer Science, Computing (IT)",Graduate degree (MA/MSc/MPhil/other),22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6376aa6e878ebba9208940c9,5756f43aae3fc40006e1ddfe,APPROVED,2022-11-17T21:41:02.096000Z,2022-11-17T21:45:07.433000Z,2022-11-18T22:09:57.018000,2022-11-17T21:45:07.801964Z,246,CUJVCRTW,383,"Greek, English, French","Computer Science, Computing (IT)",Undergraduate degree (BA/BSc/other),29,Male,White,Greece,Greece,Greece,Greek,Yes,Full-Time
6376aa8175bae667ac261dee,62e02378e435c43cd2fc5dd3,APPROVED,2022-11-17T21:41:45.577000Z,2022-11-17T21:44:39.119000Z,2022-11-18T22:09:57.105000,2022-11-17T21:44:39.533163Z,174,CUJVCRTW,98,"Bengali, English",Computer Science,Undergraduate degree (BA/BSc/other),27,Female,Asian,Bangladesh,Germany,Bangladesh,Bengali,Yes,Part-Time
6376aa89f9b20bd62afdfc81,5fbec7b24a44350e8ce3cfd5,APPROVED,2022-11-17T21:41:33.699000Z,2022-11-17T21:43:49.276000Z,2022-11-18T22:09:57.195000,2022-11-17T21:43:49.661942Z,136,CUJVCRTW,30,"Portuguese, English","Computer Science, Engineering",Undergraduate degree (BA/BSc/other),22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6376aa8bae10e0473c3158f9,61465149835949882116b8c4,APPROVED,2022-11-17T21:41:31.188000Z,2022-11-17T21:45:09.506000Z,2022-11-18T22:09:57.284000,2022-11-17T21:45:09.867447Z,219,CUJVCRTW,214,"English, Portuguese","Computer Science, Engineering",Undergraduate degree (BA/BSc/other),21,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6376aaa8105c2ed49f261db0,60252b168d445b2c7efd6c32,APPROVED,2022-11-17T21:42:00.808000Z,2022-11-17T21:50:42.267000Z,2022-11-18T22:09:57.372000,2022-11-17T21:50:42.677610Z,522,CUJVCRTW,240,"Spanish, Portuguese, French, English","Computer Science, Engineering, Computing (IT)",Graduate degree (MA/MSc/MPhil/other),21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6376aaae480aca5ff877d0a6,60e12640be1b69b66053d55b,APPROVED,2022-11-17T21:42:06.234000Z,2022-11-17T21:44:35.709000Z,2022-11-18T22:09:57.457000,2022-11-17T21:44:36.124259Z,150,CUJVCRTW,128,"Portuguese, English","Biology, Chemistry, Computing (IT), Genetics, Mathematics",Undergraduate degree (BA/BSc/other),20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6376aad3e9c022123b77d0e2,62c4b317f533d33ee1a2e542,APPROVED,2022-11-17T21:42:47.562000Z,2022-11-17T21:56:20.623000Z,2022-11-18T22:09:57.554000,2022-11-17T21:56:20.969630Z,814,CUJVCRTW,63,English,"Computer Science, Business",Graduate degree (MA/MSc/MPhil/other),24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6376aaef1b3ceda869af60e8,5f62a0d054efa1337b497ae2,RETURNED,2022-11-17T21:43:11.019000Z,2022-11-17T21:47:28.841000Z,,2022-11-17T21:47:29.241000Z,,CUJVCRTW,69,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6376aafacd366495ccb6e190,61267978e96853d3b974ca53,APPROVED,2022-11-17T21:43:22.487000Z,2022-11-17T21:54:03.791000Z,2022-11-18T22:09:57.648000,2022-11-17T21:54:04.162691Z,642,CUJVCRTW,273,"English, German, Polish, Russian","Mathematics, English Language, Computer Science",Undergraduate degree (BA/BSc/other),20,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
6376ab03111d720bd90024a2,6340383af4238833a34cea4e,RETURNED,2022-11-17T21:43:31.283000Z,2022-11-17T21:46:25.287000Z,,2022-11-17T21:46:25.661000Z,,CUJVCRTW,26,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6376ab2a7bc6f820fe848427,61325851c8a9eb311bc63c3d,RETURNED,2022-11-17T21:44:10.496000Z,2022-11-17T21:48:38.777000Z,,2022-11-17T21:48:39.124000Z,,CUJVCRTW,203,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
